Time (s),Amplitude
6.2e-07,0.14647006882322852
6.240000000000001e-07,0.14815137292587038
6.280000000000001e-07,0.14983814823506256
6.32e-07,0.15153029962286232
6.36e-07,0.15322773158861225
6.4e-07,0.1549303482631184
6.44e-07,0.15663805341284512
6.480000000000001e-07,0.15835075044412664
6.520000000000001e-07,0.16006834240739493
6.56e-07,0.1617907320014243
6.6e-07,0.1635178215775916
6.64e-07,0.16524951314415265
6.68e-07,0.16698570837053484
6.720000000000001e-07,0.16872630859164436
6.760000000000001e-07,0.17047121481218966
6.800000000000001e-07,0.17222032771102022
6.84e-07,0.17397354764547976
6.88e-07,0.1757307746557749
6.92e-07,0.17749190846935844
6.960000000000001e-07,0.17925684850532692
7.000000000000001e-07,0.18102549387883274
7.040000000000001e-07,0.18279774340551075
